name	mpg	cylinders	displacement	horsepower	weight	acceleration	year	origin
dodge aries se	29.0	4	135.0	84.0	2525.0	16.0	1982	USA
pontiac phoenix	27.0	4	151.0	90.0	2735.0	18.0	1982	USA
ford fairmont futura	24.0	4	140.0	92.0	2865.0	16.4	1982	USA
volkswagen rabbit l	36.0	4	105.0	74.0	1980.0	15.3	1982	Europe
mazda glc custom l	37.0	4	91.0	68.0	2025.0	18.2	1982	Japan
mazda glc custom	31.0	4	91.0	68.0	1970.0	17.6	1982	Japan
plymouth horizon miser	38.0	4	105.0	63.0	2125.0	14.7	1982	USA
mercury lynx l	36.0	4	98.0	70.0	2125.0	17.3	1982	USA
nissan stanza xe	36.0	4	120.0	88.0	2160.0	14.5	1982	Japan
honda accord	36.0	4	107.0	75.0	2205.0	14.5	1982	Japan
toyota corolla	34.0	4	108.0	70.0	2245.0	16.9	1982	Japan
honda civic	38.0	4	91.0	67.0	1965.0	15.0	1982	Japan
honda civic (auto)	32.0	4	91.0	67.0	1965.0	15.7	1982	Japan
datsun 310 gx	38.0	4	91.0	67.0	1995.0	16.2	1982	Japan
buick century limited	25.0	6	181.0	110.0	2945.0	16.4	1982	USA
oldsmobile cutlass ciera (diesel)	38.0	6	262.0	85.0	3015.0	17.0	1982	USA
chrysler lebaron medallion	26.0	4	156.0	92.0	2585.0	14.5	1982	USA
ford granada l	22.0	6	232.0	112.0	2835.0	14.7	1982	USA
toyota celica gt	32.0	4	144.0	96.0	2665.0	13.9	1982	Japan
dodge charger 2.2	36.0	4	135.0	84.0	2370.0	13.0	1982	USA
chevrolet camaro	27.0	4	151.0	90.0	2950.0	17.3	1982	USA
ford mustang gl	27.0	4	140.0	86.0	2790.0	15.6	1982	USA
vw pickup	44.0	4	97.0	52.0	2130.0	24.6	1982	Europe
dodge rampage	32.0	4	135.0	84.0	2295.0	11.6	1982	USA
ford ranger	28.0	4	120.0	79.0	2625.0	18.6	1982	USA
chevy s-10	31.0	4	119.0	82.0	2720.0	19.4	1982	USA
